# x  Fit  Background  peak0  peak1
5.475999999999999801e+01 5.168870422718003965e+01 2.973321961399165048e+01 2.146799494727231306e+01 4.874896659160699031e-01
5.478000000000000114e+01 5.230478802633599145e+01 2.975981678841094435e+01 2.205290858488825378e+01 4.920626530367895879e-01
5.479999999999999716e+01 5.294530792644263073e+01 2.978612378556022122e+01 2.266248371212711632e+01 4.967004287552939656e-01
5.482000000000000028e+01 5.361169617934071141e+01 2.981214060544016320e+01 2.329815134847784819e+01 5.014042254227017992e-01
5.484000000000000341e+01 5.430549209871649907e+01 2.983786724804986079e+01 2.396144954577091468e+01 5.061753048957206014e-01
5.485999999999999943e+01 5.502835192177894896e+01 2.986330371339022349e+01 2.465403324899837045e+01 5.110149593903496879e-01
5.488000000000000256e+01 5.578205974543625700e+01 2.988845000146056918e+01 2.537768523161108547e+01 5.159245123646071240e-01
5.489999999999999858e+01 5.656853966882703588e+01 2.991330611226135261e+01 2.613432823713429087e+01 5.209053194313946200e-01
5.492000000000000171e+01 5.738986929090124534e+01 2.993787204579257377e+01 2.692603847580593524e+01 5.259587693027327759e-01
5.493999999999999773e+01 5.824829473051892847e+01 2.996214780205377792e+01 2.775506064369860226e+01 5.310862847665507314e-01
5.496000000000000085e+01 5.914624735725005422e+01 2.998613338104541981e+01 2.862382465250725261e+01 5.362893236973816924e-01
5.497999999999999687e+01 6.008636244373820290e+01 3.000982878276727206e+01 2.953496428086867809e+01 5.415693801022557485e-01
5.500000000000000000e+01 6.107149997508138028e+01 3.003323400721933467e+01 3.049133798265877715e+01 5.469279852032692402e-01
5.502000000000000313e+01 6.210476787687120037e+01 3.005634905440160765e+01 3.149605211391135029e+01 5.523667085582442127e-01
5.503999999999999915e+01 6.318954795104991717e+01 3.007917392431454573e+01 3.255248686751429688e+01 5.578871592210737917e-01
5.506000000000000227e+01 6.432952483681053479e+01 3.010170861695723943e+01 3.366432523290994538e+01 5.634909869433527563e-01
5.507999999999999829e+01 6.552871834156402997e+01 3.012395313233037086e+01 3.483558532581468370e+01 5.691798834189611966e-01
5.510000000000000142e+01 6.679151951308097068e+01 3.014590747043394003e+01 3.607065645907359652e+01 5.749555835734243558e-01
5.511999999999999744e+01 6.812273084653500632e+01 3.016757163126771957e+01 3.737433934836744243e+01 5.808198668998384440e-01
5.514000000000000057e+01 6.952761103687785749e+01 3.018894561483170946e+01 3.875189086320278875e+01 5.867745588433619375e-01
5.515999999999999659e+01 7.101192469461697954e+01 3.021002942112590972e+01 4.020907374125481937e+01 5.928215322362476725e-01
5.517999999999999972e+01 7.258199743779032076e+01 3.023082305015054772e+01 4.175221167885415952e+01 5.989627087855996512e-01
5.520000000000000284e+01 7.424477674976543540e+01 3.025132650190539607e+01 4.338825018724401872e+01 6.052000606160234941e-01
5.521999999999999886e+01 7.600789894570320371e+01 3.027153977639045479e+01 4.512482355744320017e+01 6.115356118695607357e-01
5.524000000000000199e+01 7.787976251308575115e+01 3.029146287360572387e+01 4.697032819911469659e+01 6.179714403653302490e-01
5.525999999999999801e+01 7.986960797573601667e+01 3.031109579355143069e+01 4.893400250286315867e+01 6.245096793214229836e-01
5.528000000000000114e+01 8.198760426729280937e+01 3.033043853622734787e+01 5.102601321192365447e+01 6.311525191418023706e-01
5.529999999999999716e+01 8.424494137938928873e+01 3.034949110163347541e+01 5.325754806848485146e+01 6.379022092709574210e-01
5.532000000000000028e+01 8.665392876170250247e+01 3.036825348976981331e+01 5.564091421181334596e+01 6.447610601193543012e-01
5.534000000000000341e+01 8.922809858526908044e+01 3.038672570063658895e+01 5.818964143956976898e+01 6.517314450627156308e-01
5.535999999999999943e+01 9.198231252757778975e+01 3.040490773423357496e+01 6.091858899082574652e+01 6.588158025184618349e-01
5.538000000000000256e+01 9.493287018975897240e+01 3.042279959056077132e+01 6.384405396109548292e+01 6.660166381027136095e-01
5.539999999999999858e+01 9.809761660727261301e+01 3.044040126961840542e+01 6.698387881078276962e+01 6.733365268714374130e-01
5.542000000000000171e+01 1.014960455642376331e+02 3.045771277140602251e+01 7.035755467718203704e+01 6.807781156495793518e-01
5.543999999999999773e+01 1.051493945714649101e+02 3.047473409592430471e+01 7.398631635008851504e+01 6.883441254520902275e-01
5.546000000000000085e+01 1.090807264300903654e+02 3.049146524317256990e+01 7.789322383291668928e+01 6.960373540011060012e-01
5.547999999999999687e+01 1.133149912953304721e+02 3.050790621315104545e+01 8.210322440383582432e+01 7.038606783435977787e-01
5.550000000000000000e+01 1.178790621076915528e+02 3.052405700585995874e+01 8.664318804425738563e+01 7.118170575742093220e-01
5.552000000000000313e+01 1.228017352124106480e+02 3.053991762129908238e+01 9.154190805544351406e+01 7.199095356680587088e-01
5.553999999999999915e+01 1.281136869953682549e+02 3.055548805946841640e+01 9.683005769147113995e+01 7.281412444287065355e-01
5.556000000000000227e+01 1.338473764909397801e+02 3.057076832036796077e+01 1.025400927640151565e+02 7.365154065566590358e-01
5.557999999999999829e+01 1.400368832428206360e+02 3.058575840399817025e+01 1.087060894999784324e+02 7.450353388440518199e-01
5.560000000000000142e+01 1.467176693122272866e+02 3.060045831035813535e+01 1.153635065463675744e+02 7.537044555015892655e-01
5.561999999999999744e+01 1.539262543265395777e+02 3.061486803944876556e+01 1.225488600154668575e+02 7.625262716239464833e-01
5.564000000000000057e+01 1.616997929478733340e+02 3.062898759126937875e+01 1.302993009498035804e+02 7.715044068003878985e-01
5.565999999999999659e+01 1.700755452156590195e+02 3.064281696582042969e+01 1.386520856609610632e+02 7.806425888775236910e-01
5.567999999999999972e+01 1.790902319734388470e+02 3.065635616310191836e+01 1.476439311524552238e+02 7.899446578816937681e-01
5.570000000000000284e+01 1.887792701039574297e+02 3.066960518311339001e+01 1.573102503507353447e+02 7.994145701087039813e-01
5.571999999999999886e+01 1.991758856203929611e+02 3.068256402585529941e+01 1.676842651921484446e+02 8.090564023892268253e-01
5.574000000000000199e+01 2.103101068116611998e+02 3.069523269132719179e+01 1.787959997637954643e+02 8.188743565385474543e-01
5.575999999999999801e+01 2.222076445895566223e+02 3.070761117952974928e+01 1.906711606460270616e+02 8.288727639998092478e-01
5.578000000000000114e+01 2.348886728559963331e+02 3.071969949046228976e+01 2.033299172748434671e+02 8.390560906905673022e-01
5.579999999999999716e+01 2.483665279615809425e+02 3.073149762412526798e+01 2.167856013953928596e+02 8.494289420628040599e-01
5.582000000000000028e+01 2.626463529627913545e+02 3.074300558051845655e+01 2.310433513138855233e+02 8.599960683873916212e-01
5.584000000000000341e+01 2.777237191410366108e+02 3.075422335964185550e+01 2.460987334111204063e+02 8.707623702743605421e-01
5.585999999999999943e+01 2.935832638031285455e+02 3.076515096149546480e+01 2.619363799371918162e+02 8.817329044412409722e-01
5.588000000000000256e+01 3.101973893698969391e+02 3.077578838607951184e+01 2.785286880940751075e+02 8.929128897422942135e-01
5.589999999999999858e+01 3.275250737754381589e+02 3.078613563339376924e+01 2.958346304285721544e+02 9.043077134722312671e-01
5.592000000000000171e+01 3.455108458273301721e+02 3.079619270343823700e+01 3.137987301859329818e+02 9.159229379589431952e-01
5.593999999999999773e+01 3.640839810106967320e+02 3.080595959621314250e+01 3.323502571070231397e+02 9.277643074604334794e-01
5.596000000000000085e+01 3.831579728887605256e+02 3.081543631171803099e+01 3.514026988216601808e+02 9.398377553822891972e-01
5.597999999999999687e+01 4.026303324563520505e+02 3.082462284995358459e+01 3.708535601945657163e+02 9.521494118327742395e-01
5.600000000000000000e+01 4.223827623372179687e+02 3.083351921091912118e+01 3.905845375147649179e+02 9.647056115339247562e-01
5.602000000000000313e+01 4.422817444973458691e+02 3.084212539461509550e+01 4.104621062006228840e+02 9.775129021079027591e-01
5.603999999999999915e+01 4.621795692398030724e+02 3.085044140104105281e+01 4.303385497860027158e+02 9.905780527592775719e-01
5.606000000000000227e+01 4.819158198737047769e+02 3.085846723019767524e+01 4.500534445801320089e+02 1.003908063375072990e+00
5.607999999999999829e+01 5.013193120004134471e+02 3.086620288208428065e+01 4.694355989442634041e+02 1.017510174065751283e+00
5.610000000000000142e+01 5.202104693827819801e+02 3.087364835670109642e+01 4.883054291509089353e+02 1.031391875171964623e+00
5.611999999999999744e+01 5.384041005491246779e+02 3.088080365404834993e+01 5.064777359773131025e+02 1.045560917763202147e+00
5.614000000000000057e+01 5.557125224401675041e+02 3.088766877412581380e+01 5.237648283413852823e+02 1.060025324656464152e+00
5.615999999999999659e+01 5.719489604136769003e+02 3.089424371693371540e+01 5.399799232947585779e+02 1.074793401984574404e+00
5.617999999999999972e+01 5.869311386868056388e+02 3.090052848247160000e+01 5.549407364529880624e+02 1.089873751346014830e+00
5.620000000000000284e+01 6.004849626984987481e+02 3.090652307073992233e+01 5.684731643451889340e+02 1.105275282569930129e+00
5.621999999999999886e+01 6.124481857103929769e+02 3.091222748173845503e+01 5.804149510015220130e+02 1.121007227132471806e+00
5.624000000000000199e+01 6.226739468896175822e+02 3.091764171546742546e+01 5.906192260218872434e+02 1.137079152262880255e+00
5.625999999999999801e+01 6.310340675996299069e+02 3.092276577192660625e+01 5.989578008519230252e+02 1.153500975780270998e+00
5.628000000000000114e+01 6.374219969066554086e+02 3.092759965111577003e+01 6.053241142738345388e+02 1.170282981705094816e+00
5.629999999999999716e+01 6.417553063770947119e+02 3.093214335303559892e+01 6.096357271873672516e+02 1.187435836691874691e+00
5.632000000000000028e+01 6.439776478217198701e+02 3.093639687768541080e+01 6.118362803367009519e+02 1.204970607333467614e+00
5.634000000000000341e+01 6.440601052051198394e+02 3.094036022506566042e+01 6.118968462016640615e+02 1.222898778390133501e+00
5.635999999999999943e+01 6.420018927243202143e+02 3.094403339517612039e+01 6.098166270571432506e+02 1.241232272000828862e+00
5.638000000000000256e+01 6.378303741189199627e+02 3.094741638801679073e+01 6.056229742629652719e+02 1.259983467937942692e+00
5.639999999999999858e+01 6.316004025222490554e+02 3.095050920358789881e+01 5.993707280936901043e+02 1.279165224971049897e+00
5.642000000000000171e+01 6.233930044430887847e+02 3.095331184188921725e+01 5.911409016977893316e+02 1.298790903410194764e+00
5.643999999999999773e+01 6.133134546230528485e+02 3.095582430292074605e+01 5.810387559312281383e+02 1.318874388903947148e+00
5.646000000000000085e+01 6.014888094551578206e+02 3.095804658668225784e+01 5.691913327509021201e+02 1.339430117573387591e+00
5.647999999999999687e+01 5.880649844162870750e+02 3.095997869317443474e+01 5.557445326205439642e+02 1.360473102568702686e+00
5.650000000000000000e+01 5.732034747875961784e+02 3.096162062239682200e+01 5.408598352030574006e+02 1.382018962141966512e+00
5.652000000000000313e+01 5.570778282697642680e+02 3.096297237434941962e+01 5.247107719460785802e+02 1.404083949336228265e+00
5.653999999999999915e+01 5.398699826540920412e+02 3.096403394903222761e+01 5.074792637216607432e+02 1.426684983399008289e+00
5.656000000000000227e+01 5.217665814601647298e+02 3.096480534644547333e+01 4.893519364306829402e+02 1.449839683036274973e+00
5.657999999999999829e+01 5.029553756228565362e+02 3.096528656658892942e+01 4.705165226546357076e+02 1.473566401631900114e+00
5.660000000000000142e+01 4.836218103620096826e+02 3.096547760946259586e+01 4.511584484879795127e+02 1.497884264567572510e+00
